2022-12-07 15:02:17.069  DEBUG [main] o.s.t.c.BootstrapUtils - Instantiating CacheAwareContextLoaderDelegate from class [org.springframework.test.context.cache.DefaultCacheAwareContextLoaderDelegate]
2022-12-07 15:02:17.076  DEBUG [main] o.s.t.c.BootstrapUtils - Instantiating BootstrapContext using constructor [public org.springframework.test.context.support.DefaultBootstrapContext(java.lang.Class,org.springframework.test.context.CacheAwareContextLoaderDelegate)]
2022-12-07 15:02:17.098  DEBUG [main] o.s.t.c.BootstrapUtils - Instantiating TestContextBootstrapper for test class [com.example.zyaperson.Slf4jTest] from class [org.springframework.boot.test.context.SpringBootTestContextBootstrapper]
2022-12-07 15:02:17.106  INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.zyaperson.Slf4jTest], using SpringBootContextLoader
2022-12-07 15:02:17.110  DEBUG [main] o.s.t.c.s.AbstractContextLoader - Did not detect default resource location for test class [com.example.zyaperson.Slf4jTest]: class path resource [com/example/zyaperson/Slf4jTest-context.xml] does not exist
2022-12-07 15:02:17.110  DEBUG [main] o.s.t.c.s.AbstractContextLoader - Did not detect default resource location for test class [com.example.zyaperson.Slf4jTest]: class path resource [com/example/zyaperson/Slf4jTestContext.groovy] does not exist
2022-12-07 15:02:17.110  INFO  [main] o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.zyaperson.Slf4jTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-12-07 15:02:17.110  INFO  [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.zyaperson.Slf4jTest]: Slf4jTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-12-07 15:02:17.142  DEBUG [main] o.s.t.c.s.ActiveProfilesUtils - Could not find an 'annotation declaring class' for annotation type [org.springframework.test.context.ActiveProfiles] and class [com.example.zyaperson.Slf4jTest]
2022-12-07 15:02:17.191  DEBUG [main] o.s.c.a.ClassPathScanningCandidateComponentProvider - Identified candidate component class: file [D:\IdeaProjects\zyaperson\target\classes\com\example\zyaperson\ZyapersonApplication.class]
2022-12-07 15:02:17.193  INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.zyaperson.ZyapersonApplication for test class com.example.zyaperson.Slf4jTest
